"Plot Title: FW_cond_08.09.2019"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20625411, SEN S/N: 20625411)","Full Range, μS/cm (LGR S/N: 20625411, SEN S/N: 20625411)","Temp, °C (LGR S/N: 20625411, SEN S/N: 20625411)","Specific Conductance, μS/cm (LGR S/N: 20625411)"
1,08/09/19 10:30:00 AM,3.1,5.0,25.14,
2,08/09/19 10:45:00 AM,2967.3,6671.9,28.87,6304.5
3,08/09/19 11:00:00 AM,2966.5,6765.6,29.03,6372.7
4,08/09/19 11:15:00 AM,2965.2,7077.8,29.28,6633.8
5,08/09/19 11:30:00 AM,2964.8,7138.6,29.34,6682.9
6,08/09/19 11:45:00 AM,2963.2,6932.8,29.66,6449.3
7,08/09/19 12:00:00 PM,2964.5,7308.7,29.41,6832.6
8,08/09/19 12:15:00 PM,2963.5,7329.4,29.61,6825.0
9,08/09/19 12:30:00 PM,2964.5,7862.6,29.41,7350.4
10,08/09/19 12:45:00 PM,2963.7,7936.0,29.56,7397.1
11,08/09/19 01:00:00 PM,2963.7,8034.7,29.57,7487.6
12,08/09/19 01:15:00 PM,2960.1,7502.5,30.25,6899.0
13,08/09/19 01:30:00 PM,2958.7,7329.3,30.53,6703.0
14,08/09/19 01:45:00 PM,2956.5,7221.5,30.95,6550.8
15,08/09/19 02:00:00 PM,2954.9,7177.8,31.25,6473.6
16,08/09/19 02:15:00 PM,2954.8,7107.4,31.28,6406.4
17,08/09/19 02:30:00 PM,2952.7,6867.9,31.68,6143.1
18,08/09/19 02:45:00 PM,2953.0,6635.5,31.64,5939.8
19,08/09/19 03:00:00 PM,2953.7,6426.4,31.49,5769.2
20,08/09/19 03:15:00 PM,2953.1,6204.6,31.61,5557.2
21,08/09/19 03:30:00 PM,2952.9,6075.4,31.65,5437.3
22,08/09/19 03:45:00 PM,2951.7,6017.6,31.89,5360.9
23,08/09/19 04:00:00 PM,2951.3,5966.5,31.95,5309.3
24,08/09/19 04:15:00 PM,2950.8,5874.4,32.05,5217.4
25,08/09/19 04:30:00 PM,2951.0,5720.2,32.02,5083.3
26,08/09/19 04:45:00 PM,2950.6,5447.6,32.09,4834.6
27,08/09/19 05:00:00 PM,2950.2,5195.7,32.18,4603.1
28,08/09/19 05:15:00 PM,2949.5,5119.6,32.31,4524.5
29,08/09/19 05:30:00 PM,2949.5,5018.0,32.30,4435.5
30,08/09/19 05:45:00 PM,2950.0,4908.0,32.22,4344.9
31,08/09/19 06:00:00 PM,2950.0,4919.0,32.22,4354.6
32,08/09/19 06:15:00 PM,2950.1,4854.0,32.19,4299.5
33,08/09/19 06:30:00 PM,2949.8,4715.9,32.24,4173.2
34,08/09/19 06:45:00 PM,2949.5,4844.6,32.30,4282.2
35,08/09/19 07:00:00 PM,2950.5,4802.0,32.11,4259.9
36,08/09/19 07:15:00 PM,2950.7,4635.6,32.07,4115.4
37,08/09/19 07:30:00 PM,2953.2,4258.1,31.60,3814.4
