"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/08/14","00:00","-0.021","-","0.158"
"2019/08/14","00:06","-0.028","-","0.154"
"2019/08/14","00:12","-0.034","-","0.149"
"2019/08/14","00:18","-0.04","-","0.142"
"2019/08/14","00:24","-0.047","-","0.134"
"2019/08/14","00:30","-0.053","-","0.121"
"2019/08/14","00:36","-0.059","-","0.114"
"2019/08/14","00:42","-0.065","-","0.105"
"2019/08/14","00:48","-0.072","-","0.1"
"2019/08/14","00:54","-0.078","-","0.092"
"2019/08/14","01:00","-0.083","-","0.08"
"2019/08/14","01:06","-0.089","-","0.074"
"2019/08/14","01:12","-0.095","-","0.071"
"2019/08/14","01:18","-0.1","-","0.065"
"2019/08/14","01:24","-0.105","-","0.06"
"2019/08/14","01:30","-0.11","-","0.052"
"2019/08/14","01:36","-0.114","-","0.043"
"2019/08/14","01:42","-0.118","-","0.038"
"2019/08/14","01:48","-0.122","-","0.033"
"2019/08/14","01:54","-0.125","-","0.031"
"2019/08/14","02:00","-0.128","-","0.027"
"2019/08/14","02:06","-0.131","-","0.02"
"2019/08/14","02:12","-0.133","-","0.014"
"2019/08/14","02:18","-0.135","-","0.01"
"2019/08/14","02:24","-0.136","-","0.005"
"2019/08/14","02:30","-0.136","-","0.002"
"2019/08/14","02:36","-0.136","-","0.001"
"2019/08/14","02:42","-0.136","-","-0.002"
"2019/08/14","02:48","-0.135","-","-0.005"
"2019/08/14","02:54","-0.134","-","-0.006"
"2019/08/14","03:00","-0.132","-","-0.009"
"2019/08/14","03:06","-0.13","-","-0.006"
"2019/08/14","03:12","-0.127","-","-0.004"
"2019/08/14","03:18","-0.123","-","-0.006"
"2019/08/14","03:24","-0.12","-","-0.006"
"2019/08/14","03:30","-0.115","-","-0.002"
"2019/08/14","03:36","-0.111","-","0.001"
"2019/08/14","03:42","-0.106","-","0.006"
"2019/08/14","03:48","-0.1","-","0.01"
"2019/08/14","03:54","-0.095","-","0.01"
"2019/08/14","04:00","-0.089","-","0.009"
"2019/08/14","04:06","-0.082","-","0.013"
"2019/08/14","04:12","-0.075","-","0.021"
"2019/08/14","04:18","-0.068","-","0.032"
"2019/08/14","04:24","-0.061","-","0.044"
"2019/08/14","04:30","-0.054","-","0.043"
"2019/08/14","04:36","-0.046","-","0.048"
"2019/08/14","04:42","-0.038","-","0.063"
"2019/08/14","04:48","-0.03","-","0.068"
"2019/08/14","04:54","-0.022","-","0.076"
"2019/08/14","05:00","-0.013","-","0.085"
"2019/08/14","05:06","-0.005","-","0.097"
"2019/08/14","05:12","0.004","-","0.101"
"2019/08/14","05:18","0.012","-","0.102"
"2019/08/14","05:24","0.021","-","0.109"
"2019/08/14","05:30","0.03","-","0.119"
"2019/08/14","05:36","0.039","-","0.133"
"2019/08/14","05:42","0.048","-","0.144"
"2019/08/14","05:48","0.058","-","0.148"
"2019/08/14","05:54","0.067","-","0.155"
"2019/08/14","06:00","0.076","-","0.164"
"2019/08/14","06:06","0.085","-","0.171"
"2019/08/14","06:12","0.095","-","0.179"
"2019/08/14","06:18","0.104","-","0.183"
"2019/08/14","06:24","0.113","-","0.189"
"2019/08/14","06:30","0.123","-","0.195"
"2019/08/14","06:36","0.132","-","0.201"
"2019/08/14","06:42","0.141","-","0.208"
"2019/08/14","06:48","0.15","-","0.217"
"2019/08/14","06:54","0.159","-","0.227"
"2019/08/14","07:00","0.168","-","0.239"
"2019/08/14","07:06","0.177","-","0.246"
"2019/08/14","07:12","0.186","-","0.25"
"2019/08/14","07:18","0.195","-","0.255"
"2019/08/14","07:24","0.203","-","0.26"
"2019/08/14","07:30","0.211","-","0.262"
"2019/08/14","07:36","0.219","-","0.266"
"2019/08/14","07:42","0.227","-","0.273"
"2019/08/14","07:48","0.234","-","0.278"
"2019/08/14","07:54","0.241","-","0.286"
"2019/08/14","08:00","0.248","-","0.293"
"2019/08/14","08:06","0.254","-","0.3"
"2019/08/14","08:12","0.26","-","0.3"
"2019/08/14","08:18","0.266","-","0.31"
"2019/08/14","08:24","0.271","-","0.316"
"2019/08/14","08:30","0.276","-","0.32"
"2019/08/14","08:36","0.281","-","0.327"
"2019/08/14","08:42","0.285","-","0.329"
"2019/08/14","08:48","0.288","-","0.333"
"2019/08/14","08:54","0.291","-","0.335"
"2019/08/14","09:00","0.294","-","0.334"
"2019/08/14","09:06","0.296","-","0.338"
"2019/08/14","09:12","0.298","-","0.337"
"2019/08/14","09:18","0.3","-","0.338"
"2019/08/14","09:24","0.301","-","0.336"
"2019/08/14","09:30","0.301","-","0.332"
"2019/08/14","09:36","0.301","-","0.334"
"2019/08/14","09:42","0.301","-","0.339"
"2019/08/14","09:48","0.3","-","0.336"
"2019/08/14","09:54","0.299","-","0.339"
"2019/08/14","10:00","0.297","-","0.334"
"2019/08/14","10:06","0.295","-","0.334"
"2019/08/14","10:12","0.293","-","0.331"
"2019/08/14","10:18","0.291","-","0.328"
"2019/08/14","10:24","0.288","-","0.327"
"2019/08/14","10:30","0.284","-","0.324"
"2019/08/14","10:36","0.281","-","0.317"
"2019/08/14","10:42","0.277","-","0.318"
"2019/08/14","10:48","0.273","-","0.31"
"2019/08/14","10:54","0.268","-","0.302"
"2019/08/14","11:00","0.263","-","0.293"
"2019/08/14","11:06","0.258","-","0.285"
"2019/08/14","11:12","0.253","-","0.276"
"2019/08/14","11:18","0.248","-","0.272"
"2019/08/14","11:24","0.242","-","0.264"
"2019/08/14","11:30","0.236","-","0.259"
"2019/08/14","11:36","0.229","-","0.251"
"2019/08/14","11:42","0.223","-","0.245"
"2019/08/14","11:48","0.216","-","0.241"
"2019/08/14","11:54","0.209","-","0.235"
"2019/08/14","12:00","0.202","-","0.231"
"2019/08/14","12:06","0.194","-","0.226"
"2019/08/14","12:12","0.187","-","0.217"
"2019/08/14","12:18","0.179","-","0.209"
"2019/08/14","12:24","0.171","-","0.202"
"2019/08/14","12:30","0.163","-","0.193"
"2019/08/14","12:36","0.154","-","0.186"
"2019/08/14","12:42","0.146","-","0.178"
"2019/08/14","12:48","0.137","-","0.166"
"2019/08/14","12:54","0.129","-","0.157"
"2019/08/14","13:00","0.12","-","0.151"
"2019/08/14","13:06","0.111","-","0.143"
"2019/08/14","13:12","0.102","-","0.137"
"2019/08/14","13:18","0.094","-","0.132"
"2019/08/14","13:24","0.085","-","0.123"
"2019/08/14","13:30","0.076","-","0.116"
"2019/08/14","13:36","0.068","-","0.11"
"2019/08/14","13:42","0.059","-","0.105"
"2019/08/14","13:48","0.051","-","0.098"
"2019/08/14","13:54","0.043","-","0.091"
"2019/08/14","14:00","0.035","-","0.082"
"2019/08/14","14:06","0.027","-","0.074"
"2019/08/14","14:12","0.02","-","0.066"
"2019/08/14","14:18","0.013","-","0.059"
"2019/08/14","14:24","0.006","-","0.053"
"2019/08/14","14:30","0","-","0.044"
"2019/08/14","14:36","-0.006","-","0.036"
"2019/08/14","14:42","-0.012","-","0.028"
"2019/08/14","14:48","-0.017","-","0.018"
"2019/08/14","14:54","-0.022","-","0.012"
"2019/08/14","15:00","-0.026","-","0.009"
"2019/08/14","15:06","-0.03","-","0.004"
"2019/08/14","15:12","-0.034","-","0.003"
"2019/08/14","15:18","-0.037","-","0.001"
"2019/08/14","15:24","-0.039","-","-0.002"
"2019/08/14","15:30","-0.042","-","-0.001"
"2019/08/14","15:36","-0.043","-","-0.001"
"2019/08/14","15:42","-0.045","-","-0.007"
"2019/08/14","15:48","-0.046","-","-0.007"
"2019/08/14","15:54","-0.046","-","-0.007"
"2019/08/14","16:00","-0.046","-","-0.011"
"2019/08/14","16:06","-0.046","-","-0.012"
"2019/08/14","16:12","-0.045","-","-0.013"
"2019/08/14","16:18","-0.044","-","-0.014"
"2019/08/14","16:24","-0.043","-","-0.012"
"2019/08/14","16:30","-0.041","-","-0.006"
"2019/08/14","16:36","-0.04","-","-0.003"
"2019/08/14","16:42","-0.038","-","-0.002"
"2019/08/14","16:48","-0.035","-","-0.003"
"2019/08/14","16:54","-0.033","-","-0.006"
"2019/08/14","17:00","-0.03","-","-0.01"
"2019/08/14","17:06","-0.027","-","-0.006"
"2019/08/14","17:12","-0.024","-","-0.003"
"2019/08/14","17:18","-0.021","-","-0.004"
"2019/08/14","17:24","-0.017","-","0.001"
"2019/08/14","17:30","-0.014","-","0.005"
"2019/08/14","17:36","-0.01","-","0.009"
"2019/08/14","17:42","-0.006","-","0.017"
"2019/08/14","17:48","-0.002","-","0.017"
"2019/08/14","17:54","0.002","-","0.021"
"2019/08/14","18:00","0.006","-","0.026"
"2019/08/14","18:06","0.01","-","0.03"
"2019/08/14","18:12","0.014","-","0.029"
"2019/08/14","18:18","0.019","-","0.034"
"2019/08/14","18:24","0.023","-","0.035"
"2019/08/14","18:30","0.028","-","0.038"
"2019/08/14","18:36","0.032","-","0.042"
"2019/08/14","18:42","0.037","-","0.044"
"2019/08/14","18:48","0.041","-","0.049"
"2019/08/14","18:54","0.046","-","0.056"
"2019/08/14","19:00","0.051","-","0.058"
"2019/08/14","19:06","0.055","-","0.062"
"2019/08/14","19:12","0.06","-","0.067"
"2019/08/14","19:18","0.065","-","0.071"
"2019/08/14","19:24","0.069","-","0.08"
"2019/08/14","19:30","0.074","-","0.086"
"2019/08/14","19:36","0.078","-","0.089"
"2019/08/14","19:42","0.082","-","0.095"
"2019/08/14","19:48","0.087","-","0.097"
"2019/08/14","19:54","0.091","-","0.102"
"2019/08/14","20:00","0.095","-","0.108"
"2019/08/14","20:06","0.098","-","0.113"
