"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/06/12","00:00","-0.154","-","-0.192"
"2019/06/12","00:06","-0.15","-","-0.187"
"2019/06/12","00:12","-0.146","-","-0.182"
"2019/06/12","00:18","-0.142","-","-0.176"
"2019/06/12","00:24","-0.137","-","-0.168"
"2019/06/12","00:30","-0.131","-","-0.163"
"2019/06/12","00:36","-0.126","-","-0.156"
"2019/06/12","00:42","-0.12","-","-0.149"
"2019/06/12","00:48","-0.113","-","-0.142"
"2019/06/12","00:54","-0.107","-","-0.133"
"2019/06/12","01:00","-0.1","-","-0.126"
"2019/06/12","01:06","-0.093","-","-0.121"
"2019/06/12","01:12","-0.086","-","-0.114"
"2019/06/12","01:18","-0.078","-","-0.108"
"2019/06/12","01:24","-0.071","-","-0.104"
"2019/06/12","01:30","-0.063","-","-0.093"
"2019/06/12","01:36","-0.055","-","-0.082"
"2019/06/12","01:42","-0.047","-","-0.076"
"2019/06/12","01:48","-0.039","-","-0.064"
"2019/06/12","01:54","-0.031","-","-0.053"
"2019/06/12","02:00","-0.023","-","-0.043"
"2019/06/12","02:06","-0.015","-","-0.035"
"2019/06/12","02:12","-0.006","-","-0.025"
"2019/06/12","02:18","0.002","-","-0.016"
"2019/06/12","02:24","0.011","-","-0.006"
"2019/06/12","02:30","0.019","-","0.004"
"2019/06/12","02:36","0.028","-","0.011"
"2019/06/12","02:42","0.036","-","0.021"
"2019/06/12","02:48","0.044","-","0.028"
"2019/06/12","02:54","0.053","-","0.039"
"2019/06/12","03:00","0.061","-","0.05"
"2019/06/12","03:06","0.07","-","0.057"
"2019/06/12","03:12","0.078","-","0.067"
"2019/06/12","03:18","0.086","-","0.08"
"2019/06/12","03:24","0.094","-","0.088"
"2019/06/12","03:30","0.102","-","0.097"
"2019/06/12","03:36","0.11","-","0.109"
"2019/06/12","03:42","0.118","-","0.118"
"2019/06/12","03:48","0.126","-","0.129"
"2019/06/12","03:54","0.133","-","0.137"
"2019/06/12","04:00","0.141","-","0.145"
"2019/06/12","04:06","0.148","-","0.154"
"2019/06/12","04:12","0.155","-","0.16"
"2019/06/12","04:18","0.161","-","0.167"
"2019/06/12","04:24","0.168","-","0.177"
"2019/06/12","04:30","0.174","-","0.185"
"2019/06/12","04:36","0.179","-","0.193"
"2019/06/12","04:42","0.185","-","0.203"
"2019/06/12","04:48","0.19","-","0.209"
"2019/06/12","04:54","0.195","-","0.219"
"2019/06/12","05:00","0.199","-","0.225"
"2019/06/12","05:06","0.203","-","0.232"
"2019/06/12","05:12","0.206","-","0.238"
"2019/06/12","05:18","0.21","-","0.244"
"2019/06/12","05:24","0.212","-","0.247"
"2019/06/12","05:30","0.215","-","0.252"
"2019/06/12","05:36","0.216","-","0.254"
"2019/06/12","05:42","0.218","-","0.259"
"2019/06/12","05:48","0.219","-","0.261"
"2019/06/12","05:54","0.22","-","0.262"
"2019/06/12","06:00","0.22","-","0.265"
"2019/06/12","06:06","0.22","-","0.268"
"2019/06/12","06:12","0.219","-","0.268"
"2019/06/12","06:18","0.218","-","0.272"
"2019/06/12","06:24","0.217","-","0.272"
"2019/06/12","06:30","0.215","-","0.271"
"2019/06/12","06:36","0.213","-","0.271"
"2019/06/12","06:42","0.211","-","0.27"
