1559557120.00,2019/6/3 10:19:6,3,653.00,373.77,643.08,640.95,352.70,NA,24.28,1014.44,50.52,45.61,-9.90
1559557504.00,2019/6/3 10:24:6,3,669.00,410.07,661.92,656.80,391.86,NA,24.32,1014.48,50.08,45.91,-10.24
1559557760.00,2019/6/3 10:29:7,3,834.00,437.63,732.58,668.82,428.92,NA,24.32,1014.57,50.11,45.91,-10.99
1559653760.00,2019/6/4 13:8:25,3,0.00,500.00,0.00,0.00,426.65,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559654016.00,2019/6/4 13:13:26,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559654272.00,2019/6/4 13:18:26,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559654656.00,2019/6/4 13:24:40,3,0.00,500.00,0.00,0.00,425.41,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559655040.00,2019/6/4 13:29:41,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559655296.00,2019/6/4 13:34:41,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559655552.00,2019/6/4 13:39:41,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559655936.00,2019/6/4 13:44:42,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559656192.00,2019/6/4 13:49:42,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559656448.00,2019/6/4 13:54:42,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559656832.00,2019/6/4 13:59:43,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559657088.00,2019/6/4 14:4:43,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559657344.00,2019/6/4 14:9:43,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559657728.00,2019/6/4 14:14:43,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559657984.00,2019/6/4 14:19:44,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559658240.00,2019/6/4 14:24:44,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559658624.00,2019/6/4 14:29:44,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559658880.00,2019/6/4 14:34:45,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559659136.00,2019/6/4 14:39:45,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559659520.00,2019/6/4 14:44:45,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559659776.00,2019/6/4 14:49:46,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559660032.00,2019/6/4 14:54:46,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559660416.00,2019/6/4 14:59:46,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559660672.00,2019/6/4 15:4:46,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559660928.00,2019/6/4 15:9:47,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559661312.00,2019/6/4 15:14:47,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559661568.00,2019/6/4 15:19:47,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559661824.00,2019/6/4 15:24:48,3,0.00,500.00,0.00,0.00,425.41,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559662208.00,2019/6/4 15:29:48,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559662464.00,2019/6/4 15:34:49,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559662848.00,2019/6/4 15:39:49,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559663104.00,2019/6/4 15:44:49,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559663360.00,2019/6/4 15:49:50,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
1559663744.00,2019/6/4 15:54:50,3,0.00,500.00,0.00,0.00,500.00,NA,-7999.00,-7999.00,-7999.00,-7999.00,-7999.00
