pot_no,stem_no,tot_ht,grn_ht,mid_wd,bas_wd,cut,bent,twist,dh,color,allom,epi,porom,notes
211,2,0.5,0.5,0.9,1.0,0,0,0,0,0,0,0,0,
10,20,1.0,1.0,1.7,1.7,0,0,0,0,0,0,0,0,
21,6,1.0,1.0,1.5,1.7,0,0,0,0,0,0,0,0,
24,2,1.0,1.0,0.8,1.3,0,0,0,0,0,0,0,0,
1688,30,1.0,1.0,1.8,1.8,0,0,0,0,y,0,0,0,
69,2,1.5,1.5,1.3,1.5,0,0,0,0,0,0,0,0,
166,1,1.5,1.5,1.2,1.3,0,0,0,0,0,0,0,0,
395,3,1.5,1.5,1.7,1.7,0,0,0,0,0,0,0,0,
2,15,2.0,2.0,1.3,1.3,0,0,0,0,0,0,0,0,
9,17,2.0,2.0,3.2,1.4,0,0,0,1,0,0,0,0,
67,22,2.0,2.0,1.7,1.8,0,0,0,0,0,0,0,0,
69,3,2.0,2.0,1.2,2.0,0,0,0,0,0,0,0,0,
109,4,2.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,
154,1,2.0,2.0,1.5,2.0,0,0,0,0,0,0,0,0,
211,3,2.0,2.0,1.2,1.9,0,0,0,0,0,0,0,0,
245,1,2.0,2.0,1.4,1.8,0,0,0,0,0,0,0,0,
252,21,2.0,2.0,1.0,1.1,0,0,0,0,0,0,0,0,
342,19,2.0,2.0,1.3,1.3,0,0,0,0,0,0,0,0,
385,8,2.0,2.0,1.9,2.0,0,0,0,0,0,0,0,0,
392,25,2.0,2.0,1.5,1.5,0,0,0,0,0,0,0,0,
1650,27,2.0,2.0,1.4,1.7,0,0,0,0,0,0,0,0,
390,18,2.5,2.0,1.9,2.5,0,0,0,0,0,0,0,0,
1649,18,2.5,2.5,1.7,1.7,0,0,0,0,0,0,0,0,
1837,17,2.5,2.5,1.2,1.1,0,0,0,0,0,0,0,0,
1889,2,2.5,2.5,1.9,1.9,0,0,0,0,0,0,0,0,
3,19,3.0,3.0,1.4,1.8,0,0,0,0,0,0,0,0,
23,25,3.0,3.0,1.9,2.4,0,0,0,0,0,0,0,0,
24,1,3.0,3.0,1.3,2.0,0,0,0,0,0,0,0,0,
109,3,3.0,3.0,1.6,2.7,0,0,0,0,0,0,0,0,
114,5,3.0,3.0,1.6,2.5,0,0,0,0,0,0,0,0,
162,5,3.0,3.0,1.7,2.2,0,0,0,0,0,0,0,0,
183,8,3.0,3.0,0.7,0.7,0,0,0,0,0,0,0,0,
201,20,3.0,3.0,1.9,1.9,0,0,0,0,0,0,0,0,
211,1,3.0,3.0,0.6,1.4,0,0,0,0,0,0,0,0,
218,27,3.0,3.0,1.5,2.0,0,0,0,0,0,0,0,0,
244,4,3.0,3.0,1.1,1.6,0,0,0,0,0,0,0,0,
253,24,3.0,3.0,1.3,1.5,0,0,0,0,0,0,0,0,
304,26,3.0,3.0,2.9,2.1,0,0,0,0,0,0,0,0,
348,23,3.0,3.0,1.5,1.6,0,0,0,0,0,0,0,0,
368,3,3.0,3.0,2.0,2.4,0,0,0,0,0,0,0,0,
399,4,3.0,3.0,1.5,2.0,0,0,0,0,0,0,0,0,
405,25,3.0,3.0,1.5,1.5,0,0,0,0,0,0,0,0,
1642,21,3.0,3.0,1.8,2.4,0,0,0,0,0,0,0,0,
1695,33,3.0,3.0,1.5,1.7,0,0,0,0,0,0,0,0,
1804,4,3.0,3.0,1.5,1.8,0,0,0,0,0,0,0,0,
1815,11,3.0,3.0,1.2,2.3,0,0,0,0,0,0,0,0,
1849,6,3.0,3.0,2.3,1.3,0,0,0,0,0,0,0,0,
1851,20,3.0,3.0,1.3,2.3,0,0,0,0,0,0,0,0,
1966,9,3.0,3.0,1.5,1.5,0,0,0,0,0,0,0,0,
1971,32,3.0,3.0,1.7,1.9,0,0,0,0,0,0,0,0,
1976,22,3.0,3.0,0.6,2.6,0,0,0,0,0,0,0,0,
3,20,3.5,3.5,1.6,1.6,0,0,0,0,0,0,0,0,
4,12,3.5,2.5,0.9,2.1,0,0,0,0,0,0,0,0,
15,27,3.5,3.5,2.0,2.5,0,0,0,0,0,0,0,0,
63,19,3.5,3.5,1.5,1.7,0,0,0,0,0,0,0,0,
104,1,3.5,3.5,1.3,1.3,0,0,0,0,0,0,0,0,
114,4,3.5,3.5,2.1,2.2,0,0,0,0,0,0,0,0,
120,26,3.5,3.5,3.9,4.3,0,0,1,0,0,0,1,0,
125,15,3.5,3.5,1.6,1.6,0,0,0,0,0,0,0,0,
156,14,3.5,3.5,2.2,2.5,0,0,0,0,0,0,0,0,
159,2,3.5,3.5,1.7,2.7,0,0,0,0,0,0,0,0,
176,6,3.5,3.5,1.7,2.6,0,0,0,0,0,0,0,0,
268,20,3.5,3.5,1.4,1.6,0,0,0,0,0,0,0,0,
302,22,3.5,3.5,1.9,2.4,0,0,0,0,0,0,0,0,
342,18,3.5,3.5,1.1,1.6,0,0,0,0,0,0,0,0,
348,21,3.5,3.5,1.4,2.4,0,0,0,0,0,0,0,0,
1641,29,3.5,3.5,1.4,2.2,0,0,0,0,0,0,0,0,
1642,22,3.5,3.5,1.3,1.9,0,0,0,0,0,0,0,0,
1689,19,3.5,3.5,1.2,1.8,0,0,0,0,0,0,0,0,
1833,1,3.5,3.5,1.2,1.6,0,0,0,0,0,0,0,0,
1886,8,3.5,3.5,1.6,1.9,0,0,0,0,0,0,0,0,
1960,5,3.5,3.5,1.4,2.0,0,0,0,0,0,0,0,0,
1966,5,3.5,3.5,1.6,1.8,0,0,0,0,0,0,0,0,
1641,22,3.9,3.9,2.8,3.1,0,0,0,0,0,0,0,0,
10,19,4.0,4.0,1.6,2.6,0,0,0,0,0,0,0,0,
21,5,4.0,4.0,2.1,2.4,0,0,0,0,0,0,0,0,
24,11,4.0,4.0,2.1,3.3,0,0,0,0,0,0,0,0,
62,16,4.0,4.0,1.3,1.9,0,0,0,0,0,0,0,0,
69,1,4.0,4.0,1.7,2.4,0,0,0,0,0,0,0,0,
70,18,4.0,4.0,1.3,2.0,0,0,0,0,0,0,0,0,
110,1,4.0,4.0,1.7,2.2,0,0,0,0,0,0,0,0,
112,2,4.0,4.0,1.2,1.2,0,0,0,0,0,0,0,0,
113,11,4.0,4.0,1.9,1.9,0,0,0,0,0,0,0,0,
205,32,4.0,4.0,2.0,1.9,0,0,0,0,0,0,0,0,
261,1,4.0,4.0,1.3,1.8,0,0,0,0,0,0,0,0,
339,3,4.0,4.0,1.5,2.0,0,0,0,0,0,0,0,0,
354,5,4.0,4.0,1.5,1.7,0,0,0,0,0,0,0,0,
375,4,4.0,4.0,1.6,2.2,0,0,0,0,0,0,0,0,
408,11,4.0,4.0,1.4,1.8,0,0,0,0,0,0,0,0,
1647,3,4.0,4.0,1.7,2.7,0,0,0,0,0,0,0,0,
1657,2,4.0,4.0,1.5,2.2,0,0,0,0,0,0,0,0,
1694,6,4.0,4.0,1.3,1.5,0,0,0,0,0,0,0,0,
1815,4,4.0,4.0,1.5,1.7,0,0,0,0,0,0,0,0,
1852,27,4.0,4.0,1.0,1.4,0,0,0,0,0,0,0,0,
1856,13,4.0,4.0,1.2,1.5,0,0,0,0,0,0,0,0,
1889,1,4.0,4.0,1.5,1.5,0,0,0,0,0,0,0,0,
1960,6,4.0,4.0,1.8,2.4,0,0,0,0,0,0,0,0,
392,24,4.4,4.4,0.9,1.1,0,0,0,0,0,0,0,0,
18,2,4.5,4.5,1.3,2.7,0,0,0,0,0,0,0,0,
68,5,4.5,4.5,2.4,3.1,0,0,0,0,0,0,0,0,
69,4,4.5,4.5,2.0,2.2,0,0,0,0,0,0,0,0,
109,2,4.5,4.5,1.3,2.0,0,0,0,0,0,0,0,0,
162,6,4.5,4.5,2.4,2.8,0,0,0,0,0,0,0,0,
174,27,4.5,4.5,1.6,2.6,0,0,0,0,0,0,0,0,
216,31,4.5,4.5,1.6,2.2,0,0,0,0,0,0,0,0,
251,29,4.5,4.5,1.4,1.9,0,0,0,0,0,0,0,0,
253,26,4.5,4.5,1.0,1.1,0,0,0,0,0,0,0,0,
291,4,4.5,4.5,1.7,2.3,0,0,0,0,0,0,0,0,
304,25,4.5,4.5,2.0,2.1,0,0,0,0,0,0,0,0,
304,27,4.5,4.5,1.4,1.7,0,0,0,0,0,0,0,0,
387,6,4.5,4.5,0.9,1.6,0,0,0,0,0,0,0,0,
402,1,4.5,4.5,2.6,2.5,0,0,0,0,0,0,0,0,
403,11,4.5,4.5,1.3,1.3,0,0,0,0,0,0,0,0,
1689,11,4.5,4.5,1.9,2.4,0,0,0,0,0,0,0,0,
1845,18,4.5,4.5,1.7,2.2,0,0,0,0,0,0,0,0,
1851,21,4.5,4.5,1.7,2.5,0,0,0,0,0,0,0,0,
1860,17,4.5,4.5,1.4,1.4,0,0,0,0,0,0,0,0,
1892,10,4.5,4.5,1.5,1.8,0,0,0,0,0,0,0,0,
3,18,5.0,5.0,1.3,2.0,0,0,0,0,0,0,0,0,
4,11,5.0,5.0,2.1,2.5,0,0,0,0,0,0,0,0,
14,16,5.0,5.0,2.2,2.6,0,0,0,0,0,0,0,0,
16,22,5.0,5.0,1.6,2.0,0,0,0,0,0,0,0,0,
20,2,5.0,5.0,1.6,2.2,0,0,0,0,0,0,0,0,
23,24,5.0,5.0,1.2,1.1,0,0,0,0,0,0,0,0,
71,1,5.0,5.0,1.9,3.0,0,0,0,0,0,0,0,0,
78,4,5.0,5.0,2.3,2.6,0,0,0,0,0,0,0,0,
120,15,5.0,5.0,2.7,4.3,0,0,0,0,0,0,0,0,
129,2,5.0,5.0,1.4,1.4,0,0,0,0,0,0,0,0,
172,3,5.0,5.0,1.2,1.3,0,0,0,0,0,0,0,0,
197,20,5.0,5.0,1.8,2.2,0,0,0,0,0,0,0,0,
223,5,5.0,5.0,1.3,1.4,0,0,0,0,0,0,0,0,
258,10,5.0,5.0,1.3,2.2,0,0,0,0,0,0,0,0,
265,17,5.0,5.0,2.3,2.6,0,0,0,0,0,0,0,0,
299,14,5.0,5.0,1.3,1.5,0,0,0,0,0,0,0,0,
311,27,5.0,5.0,1.2,1.5,0,0,0,0,0,0,0,0,
353,21,5.0,5.0,1.0,1.4,0,0,0,0,0,0,0,0,
356,17,5.0,5.0,2.8,2.8,0,0,0,0,0,0,0,0,
358,19,5.0,5.0,1.6,1.9,0,0,0,0,0,0,0,0,
364,11,5.0,5.0,1.7,2.2,0,0,0,0,0,0,0,0,
392,26,5.0,5.0,1.1,2.1,0,0,0,0,0,0,0,0,
395,4,5.0,5.0,2.5,3.3,0,0,0,0,0,0,0,0,
403,12,5.0,5.0,1.5,1.5,0,0,0,0,0,0,0,0,
1661,1,5.0,5.0,1.6,1.9,0,0,0,0,0,0,0,0,
1691,4,5.0,5.0,1.6,2.1,0,0,0,0,0,0,0,0,
1692,6,5.0,5.0,1.9,2.3,0,0,0,0,0,0,0,0,
1695,32,5.0,5.0,1.1,1.5,0,0,0,0,0,0,0,0,
1804,5,5.0,5.0,1.5,2.3,0,0,0,0,0,0,0,0,
1843,15,5.0,5.0,1.4,1.5,0,0,0,0,0,0,0,0,
1845,19,5.0,5.0,1.4,1.8,0,0,0,0,0,0,0,0,
1885,11,5.0,5.0,1.5,1.7,0,0,0,0,0,0,0,0,
1971,31,5.0,5.0,1.4,2.1,0,0,0,0,0,0,0,0,
26,16,5.5,5.5,1.5,2.0,0,0,0,0,0,0,0,0,
59,2,5.5,5.5,1.2,1.4,0,0,0,0,0,0,0,0,
72,25,5.5,5.5,1.4,1.8,0,0,0,0,0,0,0,0,
77,11,5.5,5.5,3.0,3.3,0,0,0,0,0,0,0,0,
163,26,5.5,5.5,1.9,2.7,0,0,0,0,0,0,0,0,
173,5,5.5,5.5,1.8,1.9,0,0,0,0,0,0,0,0,
195,14,5.5,5.5,1.6,2.3,0,0,0,0,0,0,0,0,
210,24,5.5,5.5,1.2,2.5,0,0,0,0,0,0,0,0,
223,4,5.5,5.5,1.5,1.6,0,0,0,0,0,0,0,0,
250,18,5.5,5.5,1.4,1.9,0,0,0,0,0,0,0,0,
312,34,5.5,5.5,1.5,2.0,0,0,0,0,0,0,0,0,
348,22,5.5,3.5,2.5,3.1,0,0,0,0,0,0,0,0,
350,16,5.5,5.5,1.6,2.9,0,0,0,0,0,0,0,0,
392,19,5.5,5.5,1.3,1.5,0,0,0,0,0,0,0,0,
1641,28,5.5,5.5,1.6,1.9,0,0,0,0,0,0,0,0,
1643,4,5.5,5.5,1.8,2.1,0,0,0,0,0,0,0,0,
1650,19,5.5,5.5,1.6,1.8,0,0,0,0,0,0,0,0,
1689,12,5.5,5.5,1.0,2.3,0,0,0,0,0,0,0,0,
1801,5,5.5,5.5,1.9,1.9,0,0,0,0,0,0,0,0,
1802,26,5.5,5.5,1.7,2.1,0,0,0,0,0,0,0,0,
1846,20,5.5,5.5,1.2,1.7,0,0,0,0,0,0,0,0,
1860,16,5.5,5.5,1.3,1.3,0,0,0,0,0,0,0,0,
1972,32,5.5,5.5,1.7,2.0,0,0,0,0,0,0,0,0,
3,13,6.0,6.0,1.2,1.7,0,0,0,0,0,0,0,0,
11,9,6.0,6.0,2.5,2.9,0,0,0,0,0,0,0,0,
14,15,6.0,6.0,2.0,3.0,0,0,0,0,0,0,0,0,
21,4,6.0,6.0,3.3,3.5,0,0,0,0,0,0,0,0,
23,23,6.0,6.0,1.4,1.8,0,0,0,0,0,0,0,0,
58,1,6.0,6.0,2.5,2.8,0,0,0,1,0,0,0,0,
64,21,6.0,6.0,1.9,2.5,0,0,0,0,0,0,0,0,
77,17,6.0,6.0,2.4,2.8,0,0,0,0,0,0,0,0,
145,12,6.0,6.0,1.7,2.1,0,0,0,0,0,0,0,0,
162,4,6.0,6.0,2.2,3.1,0,0,0,0,0,0,0,0,
171,1,6.0,6.0,2.0,2.1,0,0,0,0,0,0,0,0,
259,15,6.0,6.0,2.1,2.3,0,0,0,0,0,0,0,0,
265,16,6.0,6.0,2.0,2.4,0,0,0,0,0,0,0,0,
265,18,6.0,6.0,1.9,2.6,0,0,0,0,0,0,0,0,
268,19,6.0,6.0,1.4,2.3,0,0,0,0,0,0,0,0,
295,14,6.0,6.0,1.6,1.8,0,0,0,0,0,0,0,0,
392,22,6.0,6.0,1.5,1.1,0,0,0,0,0,0,0,0,
412,4,6.0,6.0,1.2,1.3,0,0,0,0,0,0,0,0,
1641,26,6.0,6.0,2.2,2.2,0,0,0,0,0,0,0,0,
1650,26,6.0,6.0,1.4,1.5,0,0,0,0,0,0,0,0,
1695,31,6.0,6.0,2.3,2.6,0,0,0,0,0,0,0,0,
1843,14,6.0,6.0,1.4,1.4,0,0,0,0,0,0,0,0,
1849,5,6.0,6.0,2.4,1.8,0,0,0,0,0,0,0,0,
1898,14,6.0,6.0,2.3,3.0,0,0,0,0,0,0,0,0,
1962,21,6.0,6.0,2.0,3.1,0,0,0,0,0,0,0,0,
1962,21,6.0,6.0,2.0,3.1,0,0,0,0,0,0,0,0,
2,14,6.5,6.5,1.8,1.9,0,0,0,0,0,0,0,0,
13,19,6.5,6.5,1.8,2.4,0,0,0,0,0,0,0,0,
40,1,6.5,6.5,1.7,1.8,0,0,0,y,0,0,0,0,
50,11,6.5,6.5,1.5,1.7,0,0,0,0,0,0,0,0,
68,4,6.5,6.5,3.1,3.1,0,0,0,0,0,0,0,0,
74,8,6.5,6.5,1.6,1.9,0,0,0,0,0,0,0,0,
88,17,6.5,6.5,1.3,1.6,0,0,0,0,0,0,0,0,
157,1,6.5,6.5,2.1,2.8,0,0,0,0,0,0,0,0,
163,24,6.5,6.5,2.5,2.8,0,0,0,0,0,0,0,0,
176,21,6.5,6.5,2.1,2.5,0,0,0,0,0,0,0,0,
207,19,6.5,6.5,1.7,1.8,0,0,0,0,0,0,0,0,
210,23,6.5,6.5,1.5,2.3,0,0,0,0,0,0,0,0,
219,6,6.5,6.5,2.0,2.6,0,0,0,0,0,0,0,0,
259,14,6.5,6.5,1.9,2.5,0,0,0,0,0,0,0,0,
342,5,6.5,6.5,1.7,2.0,0,0,0,0,0,0,0,0,
348,20,6.5,6.5,2.4,2.4,0,0,0,0,0,0,0,0,
353,20,6.5,6.5,1.8,2.6,0,0,0,0,0,0,0,0,
402,2,6.5,6.5,2.6,2.6,0,0,0,0,0,0,0,0,
412,3,6.5,5.5,1.3,1.3,0,0,0,0,0,0,0,0,
1617,14,6.5,2.5,2.5,2.5,0,0,0,0,0,0,0,0,
1664,7,6.5,6.5,1.9,1.9,0,0,0,0,0,0,0,0,
1806,13,6.5,6.5,1.9,2.1,0,0,0,0,0,0,0,0,
1891,9,6.5,6.5,1.7,1.8,0,0,0,0,0,0,0,0,
1954,6,6.5,6.5,1.3,1.9,0,0,0,0,0,2,0,0,
1963,18,6.5,6.5,2.6,2.6,0,0,0,0,0,0,0,0,
30,1,7.0,4.0,3.3,3.7,1,0,0,0,0,0,0,0,
50,10,7.0,7.0,1.6,1.6,0,0,0,0,0,0,0,0,
63,20,7.0,7.0,1.5,1.8,0,0,0,0,0,0,0,0,
87,9,7.0,7.0,2.1,2.9,0,0,0,0,0,0,0,0,
112,18,7.0,7.0,1.5,1.5,0,0,0,0,0,0,0,0,
122,5,7.0,7.0,2.6,2.8,0,0,0,0,0,0,0,0,
167,3,7.0,7.0,1.5,1.7,0,0,0,0,0,0,0,0,
172,1,7.0,7.0,2.1,2.2,0,0,0,0,0,0,0,0,
173,4,7.0,7.0,1.8,2.5,0,0,0,0,0,0,0,0,
196,6,7.0,7.0,1.9,2.2,0,0,0,0,0,0,0,0,
257,24,7.0,7.0,1.3,1.5,0,0,0,0,0,0,0,0,
260,25,7.0,7.0,1.3,2.3,0,0,0,0,0,0,0,0,
272,20,7.0,7.0,1.2,1.8,0,0,0,0,0,0,0,0,
297,3,7.0,7.0,1.7,2.4,0,0,0,0,0,0,0,0,
303,13,7.0,7.0,1.9,2.1,0,0,0,0,0,0,0,0,
413,7,7.0,7.0,1.9,2.2,0,0,0,0,0,0,0,0,
1617,13,7.0,7.0,1.3,1.8,0,0,0,0,0,0,0,0,
1835,18,7.0,7.0,1.9,2.5,0,0,0,0,0,0,0,0,
1960,28,7.0,7.0,1.3,1.2,0,0,0,0,0,0,0,0,
1972,28,7.0,7.0,1.7,2.1,0,0,0,0,0,0,0,0,
1972,31,7.0,7.0,1.7,1.9,0,0,0,0,0,0,0,0,
1977,11,7.0,7.0,1.3,2.1,0,0,0,0,0,0,0,0,
1979,19,7.0,7.0,1.8,2.2,0,0,0,0,0,0,0,0,
1983,6,7.0,7.0,1.9,2.3,0,0,0,0,0,0,0,0,
19,11,7.5,7.5,2.4,3.8,0,0,0,0,0,0,0,0,
20,1,7.5,7.5,1.5,2.4,0,0,0,0,0,0,0,0,
21,20,7.5,7.5,3.3,3.3,0,0,0,0,0,0,0,0,
37,7,7.5,6.0,2.0,2.2,0,0,0,0,0,0,0,0,
62,17,7.5,7.5,4.9,5.7,0,0,0,0,0,0,0,0,
67,16,7.5,7.5,2.2,3.5,0,0,0,0,0,0,0,0,
70,6,7.5,7.5,3.1,5.4,0,0,0,0,0,0,0,0,
76,16,7.5,7.5,1.5,2.4,0,0,0,0,0,0,0,0,
97,11,7.5,7.0,3.1,3.8,0,0,0,0,0,0,0,0,
102,13,7.5,7.5,1.8,2.4,0,0,0,0,0,0,0,0,
156,4,7.5,7.5,2.4,3.3,0,0,0,0,0,0,0,0,
161,5,7.5,7.5,1.8,1.9,0,0,0,0,0,0,0,0,
167,4,7.5,7.5,1.3,1.3,0,0,0,0,0,0,0,0,
174,25,7.5,7.5,1.6,1.7,0,0,0,0,0,0,0,0,
198,7,7.5,7.5,1.9,2.1,0,0,0,0,0,0,0,0,
211,22,7.5,7.5,2.0,2.6,0,0,0,0,0,0,0,0,
214,20,7.5,7.5,1.7,1.8,0,0,0,0,0,0,0,0,
243,14,7.5,7.5,2.2,2.3,0,0,1,0,0,0,0,0,
253,25,7.5,7.5,1.6,1.8,0,0,0,0,0,0,0,0,
311,26,7.5,7.5,1.3,1.5,0,0,0,0,0,0,0,0,
352,7,7.5,7.5,1.3,1.3,0,0,0,0,0,0,0,0,
359,23,7.5,7.5,1.4,2.2,0,0,0,0,0,0,0,0,
387,5,7.5,7.5,1.6,2.1,0,0,0,0,0,0,0,0,
397,19,7.5,7.5,1.9,2.2,0,0,0,0,0,0,0,0,
408,9,7.5,7.5,1.7,2.1,0,0,0,0,0,0,0,0,
413,4,7.5,7.5,1.9,3.2,0,0,0,0,0,0,0,0,
1638,5,7.5,7.5,1.7,1.8,0,0,0,0,0,0,0,0,
1654,11,7.5,7.5,2.5,2.7,0,0,0,0,0,0,0,0,
1662,1,7.5,7.5,1.2,1.8,0,0,0,0,0,0,0,0,
1837,18,7.5,7.5,1.7,1.8,0,0,0,0,0,0,0,0,
1838,7,7.5,7.5,1.9,2.2,0,0,0,0,0,0,0,0,
1843,16,7.5,7.5,2.1,2.2,0,0,0,0,0,0,0,0,
1877,9,7.5,7.5,2.1,3.2,0,0,0,0,0,0,0,0,
1882,4,7.5,7.5,0.8,1.1,0,0,0,0,0,0,1,0,
1983,8,7.5,7.5,2.1,2.6,0,0,0,0,0,0,0,0,
23,22,8.0,8.0,2.7,3.5,0,0,0,0,0,0,0,0,
27,29,8.0,8.0,2.2,3.0,0,0,0,0,0,0,0,0,
75,21,8.0,8.0,2.4,2.8,0,0,0,0,0,0,0,0,
112,4,8.0,2.0,2.3,2.1,1,0,0,0,0,0,0,0,
117,18,8.0,8.0,1.6,2.3,0,0,0,0,0,0,0,0,
119,9,8.0,8.0,1.4,2.4,0,0,0,0,0,0,0,0,
120,28,8.0,8.0,1.7,2.2,0,0,0,0,0,0,0,0,
145,10,8.0,8.0,2.5,2.9,0,0,0,0,0,0,0,0,
204,13,8.0,8.0,2.7,3.0,0,0,0,0,0,0,0,0,
223,2,8.0,8.0,1.7,2.2,0,0,0,0,0,0,0,0,
256,30,8.0,8.0,1.5,2.3,0,0,0,0,0,0,0,0,
263,35,8.0,8.0,2.2,3.0,0,0,0,0,0,0,0,0,
289,2,8.0,8.0,2.9,3.2,0,0,0,0,0,0,0,0,
317,4,8.0,8.0,3.0,4.6,0,0,0,0,0,0,0,0,
337,27,8.0,8.0,1.3,1.4,0,0,0,0,0,0,0,0,
363,2,8.0,8.0,2.2,2.3,0,0,0,0,0,0,0,0,
412,8,8.0,8.0,2.4,3.9,0,0,0,0,0,0,0,0,
1621,4,8.0,6.0,1.8,2.8,0,0,0,0,0,0,0,0,
1649,4,8.0,8.0,1.6,2.4,0,0,0,0,0,0,0,0,
1694,14,8.0,8.0,1.2,1.4,0,0,0,0,0,0,0,0,
1835,17,8.0,8.0,2.7,3.0,0,0,0,0,0,0,0,0,
1961,23,8.0,8.0,1.4,1.4,0,0,0,0,0,0,0,0,
1961,24,8.0,8.0,1.6,1.9,0,0,0,0,0,0,0,0,
1972,30,8.0,8.0,1.8,2.3,0,0,0,0,0,0,0,0,
13,18,8.5,8.5,2.7,3.5,0,0,0,0,0,0,0,0,
70,7,8.5,8.5,2.6,3.5,0,0,0,0,0,0,0,0,
115,5,8.5,8.5,2.7,3.0,0,0,0,0,0,0,0,0,
120,27,8.5,8.5,2.8,3.0,0,0,0,0,0,0,0,0,
165,25,8.5,8.5,1.8,2.3,0,0,0,0,0,0,0,0,
172,2,8.5,8.5,1.8,2.5,0,0,0,0,0,0,0,0,
208,3,8.5,8.5,2.3,2.7,0,0,0,0,0,0,0,0,
219,5,8.5,8.5,3.0,3.7,0,0,0,0,0,0,0,0,
251,10,8.5,4.0,4.6,4.6,0,0,0,0,0,0,0,0,
263,5,8.5,8.5,2.5,3.2,0,0,0,0,0,0,0,0,
263,34,8.5,8.5,2.3,2.8,0,0,0,0,0,0,0,0,
297,20,8.5,8.5,2.0,2.3,0,0,0,0,0,0,0,0,
308,15,8.5,8.5,2.2,2.3,0,0,0,0,0,0,0,0,
314,1,8.5,1.5,1.0,1.1,1,0,0,0,0,0,0,0,
325,1,8.5,8.5,1.4,1.6,0,0,0,0,0,1,0,0,
352,6,8.5,7.5,1.2,1.3,0,0,0,0,0,0,0,0,
360,17,8.5,8.5,1.8,2.0,0,0,0,0,0,0,0,0,
390,13,8.5,8.5,3.0,3.7,0,0,0,0,0,0,0,0,
412,5,8.5,8.5,1.8,1.9,0,0,0,0,0,0,0,0,
1660,9,8.5,8.5,1.6,1.6,0,0,0,0,0,0,0,0,
1694,15,8.5,5.5,1.8,2.0,0,1,0,0,0,0,0,0,
1844,9,8.5,8.5,2.1,2.1,0,0,0,0,0,0,0,0,
1845,20,8.5,8.5,1.7,1.7,0,0,0,0,0,0,0,0,
1849,4,8.5,8.5,2.0,2.2,0,0,0,0,0,0,0,0,
1850,9,8.5,8.5,1.6,1.7,0,0,0,0,0,0,0,0,
1885,10,8.5,8.5,1.3,2.0,0,0,0,0,0,0,0,0,
1934,1,8.5,8.5,2.0,2.5,0,0,0,0,0,1,0,0,
1957,13,8.5,8.5,2.1,2.9,0,0,0,0,0,0,0,0,
22,7,9.0,9.0,3.2,3.8,0,0,0,0,0,0,0,0,
49,3,9.0,9.0,2.0,2.1,0,0,0,0,0,0,0,0,
72,6,9.0,9.0,2.8,3.1,0,0,0,0,0,0,0,0,
77,6,9.0,9.0,2.8,2.9,0,0,0,0,0,0,0,0,
164,2,9.0,9.0,2.0,3.3,0,0,0,0,0,0,0,0,
170,17,9.0,9.0,2.7,2.6,0,0,0,0,0,0,0,0,
218,19,9.0,9.0,2.2,3.1,0,0,0,0,0,0,0,0,
219,8,9.0,9.0,1.6,2.4,0,0,0,0,0,0,0,0,
252,20,9.0,9.0,1.6,1.7,0,0,0,0,0,0,0,0,
260,23,9.0,9.0,1.9,2.7,0,0,0,0,0,0,0,0,
260,26,9.0,9.0,2.8,2.9,0,0,0,0,0,0,0,0,
269,12,9.0,9.0,1.6,2.4,0,0,0,0,0,0,0,0,
272,13,9.0,9.0,1.4,1.9,0,0,0,0,0,0,0,0,
289,10,9.0,9.0,2.5,3.0,0,0,0,0,0,0,0,0,
307,1,9.0,9.0,1.6,2.2,0,0,0,0,0,0,0,0,
340,14,9.0,9.0,1.9,2.0,0,0,0,0,0,0,0,0,
340,15,9.0,6.0,1.0,1.2,1,0,0,0,0,0,0,0,
364,4,9.0,9.0,2.7,3.2,0,0,0,0,0,0,0,0,
368,2,9.0,7.0,2.6,2.9,0,0,0,0,0,0,0,0,
1686,16,9.0,9.0,2.2,2.4,0,0,0,0,0,0,0,0,
1688,27,9.0,9.0,1.7,1.9,0,0,0,0,0,0,0,0,
1891,10,9.0,9.0,1.7,1.8,0,0,0,0,0,0,0,0,
1892,4,9.0,6.5,1.6,1.7,0,0,0,0,0,0,0,0,
1892,12,9.0,9.0,1.7,1.7,0,0,0,0,0,0,0,0,
1960,4,9.0,9.0,2.3,2.3,0,0,0,0,0,0,0,0,
1962,1,9.0,9.0,2.9,3.3,0,0,0,0,0,1,0,0,
1962,1,9.0,9.0,2.9,3.3,0,0,0,0,0,1,0,0,
1976,21,9.0,9.0,2.7,3.1,0,0,0,0,0,0,0,0,
107,24,9.5,9.5,1.9,2.0,0,0,0,0,0,0,0,0,
114,1,9.5,9.5,3.0,3.3,0,0,0,0,0,0,0,0,
116,35,9.5,9.5,2.4,2.9,0,0,0,0,0,0,0,0,
121,4,9.5,9.5,2.4,3.1,0,0,0,0,0,0,0,0,
132,1,9.5,9.5,2.4,2.9,0,0,0,0,0,0,0,0,
197,6,9.5,9.5,2.4,2.7,0,0,0,0,0,0,0,0,
206,16,9.5,9.5,1.8,2.0,0,0,0,0,0,0,0,0,
251,5,9.5,8.0,2.4,2.4,0,0,0,0,0,0,0,0,
260,24,9.5,9.5,2.6,3.2,0,0,0,0,0,0,0,0,
