"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2019/07/13","00:00","-0.176","-","-0.076"
"2019/07/13","00:06","-0.178","-","-0.076"
"2019/07/13","00:12","-0.18","-","-0.077"
"2019/07/13","00:18","-0.181","-","-0.079"
"2019/07/13","00:24","-0.182","-","-0.081"
"2019/07/13","00:30","-0.182","-","-0.083"
"2019/07/13","00:36","-0.181","-","-0.08"
"2019/07/13","00:42","-0.181","-","-0.079"
"2019/07/13","00:48","-0.179","-","-0.077"
"2019/07/13","00:54","-0.177","-","-0.076"
"2019/07/13","01:00","-0.175","-","-0.072"
"2019/07/13","01:06","-0.172","-","-0.069"
"2019/07/13","01:12","-0.169","-","-0.064"
"2019/07/13","01:18","-0.165","-","-0.059"
"2019/07/13","01:24","-0.16","-","-0.054"
"2019/07/13","01:30","-0.156","-","-0.048"
"2019/07/13","01:36","-0.15","-","-0.04"
"2019/07/13","01:42","-0.145","-","-0.033"
"2019/07/13","01:48","-0.139","-","-0.025"
"2019/07/13","01:54","-0.132","-","-0.017"
"2019/07/13","02:00","-0.126","-","-0.006"
"2019/07/13","02:06","-0.119","-","-0.001"
"2019/07/13","02:12","-0.111","-","0.007"
"2019/07/13","02:18","-0.104","-","0.017"
"2019/07/13","02:24","-0.096","-","0.026"
"2019/07/13","02:30","-0.088","-","0.039"
"2019/07/13","02:36","-0.079","-","0.049"
"2019/07/13","02:42","-0.071","-","0.057"
"2019/07/13","02:48","-0.062","-","0.071"
"2019/07/13","02:54","-0.053","-","0.083"
"2019/07/13","03:00","-0.044","-","0.093"
"2019/07/13","03:06","-0.035","-","0.107"
"2019/07/13","03:12","-0.026","-","0.115"
"2019/07/13","03:18","-0.016","-","0.127"
"2019/07/13","03:24","-0.007","-","0.137"
"2019/07/13","03:30","0.003","-","0.146"
"2019/07/13","03:36","0.013","-","0.157"
"2019/07/13","03:42","0.023","-","0.168"
"2019/07/13","03:48","0.032","-","0.178"
"2019/07/13","03:54","0.042","-","0.19"
"2019/07/13","04:00","0.052","-","0.198"
"2019/07/13","04:06","0.062","-","0.208"
"2019/07/13","04:12","0.072","-","0.218"
"2019/07/13","04:18","0.082","-","0.227"
"2019/07/13","04:24","0.093","-","0.235"
"2019/07/13","04:30","0.103","-","0.244"
"2019/07/13","04:36","0.113","-","0.255"
"2019/07/13","04:42","0.123","-","0.264"
"2019/07/13","04:48","0.132","-","0.274"
"2019/07/13","04:54","0.142","-","0.284"
"2019/07/13","05:00","0.152","-","0.295"
"2019/07/13","05:06","0.162","-","0.308"
"2019/07/13","05:12","0.171","-","0.32"
"2019/07/13","05:18","0.18","-","0.332"
"2019/07/13","05:24","0.189","-","0.343"
"2019/07/13","05:30","0.198","-","0.352"
"2019/07/13","05:36","0.207","-","0.362"
"2019/07/13","05:42","0.215","-","0.371"
"2019/07/13","05:48","0.223","-","0.377"
"2019/07/13","05:54","0.231","-","0.385"
"2019/07/13","06:00","0.238","-","0.393"
"2019/07/13","06:06","0.245","-","0.399"
"2019/07/13","06:12","0.252","-","0.406"
"2019/07/13","06:18","0.258","-","0.415"
"2019/07/13","06:24","0.264","-","0.422"
"2019/07/13","06:30","0.269","-","0.433"
"2019/07/13","06:36","0.274","-","0.438"
"2019/07/13","06:42","0.279","-","0.442"
"2019/07/13","06:48","0.283","-","0.45"
"2019/07/13","06:54","0.286","-","0.455"
"2019/07/13","07:00","0.289","-","0.462"
"2019/07/13","07:06","0.292","-","0.465"
