unixtime, timestamp, slave_ID, co2, duty1, co2ave1, co2ave5, dutyave5, co2sd5, temp, pressure, humidity, gas, approx_altitude
1565601920.00,2019/8/12 9:25:0,255,696.00,353.82,701.00,705.22,343.55,NA,35.70,1017.53,49.21,446.57,-35.41
1565602176.00,2019/8/12 9:30:1,255,776.00,377.01,682.42,697.12,364.52,NA,35.73,1017.42,49.06,447.76,-34.66
1565602560.00,2019/8/12 9:35:1,255,738.00,335.91,746.58,777.40,347.22,NA,36.03,1017.32,48.32,414.46,-34.16
1565602816.00,2019/8/12 9:40:1,255,771.00,342.46,764.42,730.32,342.15,NA,36.32,1017.24,47.62,457.48,-32.84
1565603072.00,2019/8/12 9:45:1,255,719.00,347.97,727.00,731.42,342.47,NA,35.97,1017.16,48.94,445.69,-32.34
1565603456.00,2019/8/12 9:50:1,255,696.00,354.45,721.92,735.67,349.93,NA,36.40,1017.20,47.71,433.37,-33.17
1565603712.00,2019/8/12 9:55:1,255,690.00,384.75,688.75,676.55,370.40,NA,36.72,1017.18,46.27,468.61,-32.67
1565603968.00,2019/8/12 10:0:2,255,699.00,408.99,707.00,687.92,397.75,NA,36.71,1017.16,46.97,492.93,-32.67
1565604352.00,2019/8/12 10:5:2,255,718.00,424.47,709.50,709.67,417.01,NA,37.00,1017.18,44.90,485.83,-32.34
1565604608.00,2019/8/12 10:10:2,255,706.00,436.18,713.92,721.20,429.31,NA,37.36,1017.10,44.26,454.40,-32.17
1565604864.00,2019/8/12 10:15:2,255,687.00,455.99,684.00,707.53,442.67,NA,36.80,1017.10,44.79,523.54,-31.92
1565605248.00,2019/8/12 10:20:2,255,675.00,484.22,664.83,681.63,467.89,NA,37.01,1017.10,45.43,471.23,-32.00
1565605504.00,2019/8/12 10:25:2,255,676.00,500.00,673.58,680.90,494.52,NA,37.31,1017.10,46.43,420.93,-32.17
1565605760.00,2019/8/12 10:30:3,255,747.00,498.71,749.67,729.98,499.42,NA,37.54,1017.12,45.67,481.66,-32.51
1565606144.00,2019/8/12 10:35:3,255,684.00,500.00,659.92,683.40,499.93,NA,37.79,1017.20,45.06,408.44,-33.00
1565606400.00,2019/8/12 10:40:3,255,693.00,499.38,691.00,695.62,499.61,NA,38.05,1017.26,42.57,450.15,-33.50
1565606656.00,2019/8/12 10:45:3,255,699.00,495.68,645.83,719.07,496.25,NA,38.29,1017.22,42.97,431.16,-33.17
1565607040.00,2019/8/12 10:50:3,255,717.00,500.00,708.92,678.48,499.67,NA,38.26,1017.09,41.36,450.15,-32.00
1565607296.00,2019/8/12 10:55:3,255,739.00,294.93,729.42,722.42,286.26,NA,38.63,1016.97,43.00,389.33,-30.93
1565607552.00,2019/8/12 11:0:4,255,690.00,316.11,679.67,703.67,302.09,NA,38.87,1016.83,41.71,410.67,-29.93
1565607936.00,2019/8/12 11:5:4,255,704.00,331.62,710.08,708.33,323.98,NA,39.07,1016.69,40.57,375.98,-28.60
1565608192.00,2019/8/12 11:10:4,255,681.00,345.00,724.67,717.92,338.70,NA,39.23,1016.71,38.93,455.63,-28.60
1565608448.00,2019/8/12 11:15:4,255,637.00,375.95,631.92,681.73,355.44,NA,38.83,1016.71,41.00,491.13,-28.60
1565608832.00,2019/8/12 11:20:4,255,678.00,396.80,715.75,688.23,388.82,NA,38.45,1016.69,40.51,552.27,-28.77
1565609088.00,2019/8/12 11:25:4,255,663.00,423.03,664.17,689.90,407.74,NA,38.97,1016.59,40.86,395.73,-27.44
1565609344.00,2019/8/12 11:30:5,255,0.00,454.30,663.25,676.33,436.26,NA,39.03,1016.57,38.92,484.43,-27.44
1565609728.00,2019/8/12 11:35:5,255,623.00,481.83,660.58,678.00,465.11,NA,38.62,1016.52,40.03,451.96,-27.19
1565609984.00,2019/8/12 11:40:5,255,670.00,500.00,667.58,625.98,497.88,NA,38.38,1016.54,40.96,413.95,-27.36
1565610368.00,2019/8/12 11:45:5,255,614.00,500.00,695.58,678.30,499.78,NA,38.97,1016.57,39.46,432.54,-27.44
1565610624.00,2019/8/12 11:50:5,255,649.00,500.00,652.42,624.37,499.82,NA,39.24,1016.48,40.96,422.77,-26.69
1565610880.00,2019/8/12 11:55:5,255,692.00,500.00,681.75,688.45,499.87,NA,39.04,1016.36,42.33,477.23,-25.86
1565611264.00,2019/8/12 12:0:6,255,709.00,500.00,719.83,721.27,499.34,NA,39.42,1016.38,40.78,426.79,-25.86
1565611520.00,2019/8/12 12:5:6,255,718.00,499.89,682.00,679.65,499.97,NA,39.34,1016.20,39.31,470.90,-24.86
1565611776.00,2019/8/12 12:10:6,255,649.00,500.00,647.42,691.38,499.84,NA,39.83,1016.24,37.03,477.23,-24.86
1565612160.00,2019/8/12 12:15:6,255,666.00,500.00,676.33,662.82,500.00,NA,39.50,1016.24,38.84,466.66,-25.03
1565612416.00,2019/8/12 12:20:6,255,720.00,500.00,711.58,683.47,500.00,NA,40.18,1016.16,38.05,497.29,-24.20
1565612672.00,2019/8/12 12:25:6,255,669.00,500.00,661.33,667.98,500.00,NA,40.43,1016.01,37.71,564.76,-23.12
1565613056.00,2019/8/12 12:30:7,255,715.00,498.17,716.33,679.92,499.10,NA,41.01,1015.99,38.31,462.50,-22.79
1565613312.00,2019/8/12 12:35:7,255,697.00,499.42,665.25,676.65,499.69,NA,41.50,1015.87,35.99,505.11,-21.79
1565613568.00,2019/8/12 12:40:7,255,666.00,500.00,629.67,680.65,499.96,NA,41.17,1015.67,36.40,593.07,-20.96
1565613952.00,2019/8/12 12:45:7,255,689.00,500.00,671.50,660.85,500.00,NA,41.35,1015.65,34.24,649.64,-20.30
1565614208.00,2019/8/12 12:50:7,255,640.00,500.00,631.42,691.90,499.06,NA,40.67,1015.67,36.13,574.38,-20.30
1565614464.00,2019/8/12 12:55:7,255,671.00,326.39,632.92,650.75,300.39,NA,40.93,1015.65,35.04,606.41,-20.13
1565614848.00,2019/8/12 13:0:8,255,704.00,343.55,696.75,700.65,333.86,NA,40.64,1015.55,37.65,455.93,-19.47
1565615104.00,2019/8/12 13:5:8,255,659.00,371.51,660.25,685.03,355.19,NA,41.09,1015.39,35.26,566.66,-17.97
1565615360.00,2019/8/12 13:10:8,255,716.00,391.69,710.33,692.72,383.32,NA,40.89,1015.37,38.72,402.82,-17.80
1565615744.00,2019/8/12 13:15:8,255,680.00,424.02,668.83,674.33,407.63,NA,40.27,1015.29,37.77,405.73,-17.30
1565616000.00,2019/8/12 13:20:8,255,715.00,450.51,713.92,678.15,440.53,NA,39.25,1015.31,40.97,373.44,-16.97
